_id,ID,AD,KATEGORI ADI,IL ADI,ILCE ADI,MAHALLE ADI,DURUM,BOYLAM,ENLEM,ELEKTRIK,KULLANIM ALANI,OTOMATIK HESAPLANAN ALAN,SU,TABELA KOD,TOPLAM ALAN,TOPLAM CADIR / KONTEYNER SAYISI,TUR,VERI URETIM,WC / KANALIZASYON,YOL DURUMU
33,151349522,19 Mayıs Caddesi Dinlenme Alanı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.35956589167907,40.83212176994263,Var,250,182.855593681841,Var,3430-020-72,250,0/0,PARK,Koordinat,Yok,Var
34,151349523,Şehit Bahadırhan Solak Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.35623644300754,40.83100121312078,Var,2195,2310.49085409872,Var,3430-020-69,2195,0/0,PARK,Koordinat,Yok,VAR
35,151349524,Mecidiye Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.354322829058084,40.83214369112255,Var,850,912.736240096798,Var,3430-020-73,850,0/0,PARK,Koordinat,Yok,VAR
36,151349525,Mevlana Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.357885263906923,40.83796523637762,Var,2883,2120.61542279588,Var,3430-020-71,2883,0/0,PARK,Koordinat,Yok,VAR
37,151349526,Şehit Er Sezgin Zorba Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.35416396821553,40.82800523765757,Var,4330,4065.37253333307,Var,3430-020-70,4330,0/1-MAG,PARK,Koordinat,Yok,VAR
38,151349527,Fatih Sultan Mehmet İmam Hatip Ortaokulu Bahçesi,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.358557274873437,40.83524324249925,Var,2400,2704.97234160223,Var,3430-020-74,2400,0/0,OKUL ,Koordinat,Var,VAR
39,151349528,Şehit Ertan Bayraktar Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.35358889607276,40.82366444262535,Var,10309,12264.9147501276,Var,3430-020-78,10309,0/0,PARK,Koordinat,Yok,VAR
40,151349529,Taptuk Emre İlkokulu Bahçesi,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.356872268084484,40.82910034043547,Var,2000,3931.90380053988,Var,3430-020-76,2000,0/1,OKUL ,Koordinat,Var,VAR
41,151349530,Yunus Emre Ortaokulu Bahçesi..,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Şifa Mh.,Aktif,29.355954888461284,40.829184615014256,Var,2500,3370.48105775864,Var,3430-020-75,2500,0/1,OKUL ,Koordinat,Var,VAR
42,151349531,Cumhuriyet Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İçmeler Mh.,Aktif,29.30472273076268,40.84695995380076,Var,2312,2056.85913006394,Var,3430-013-27,2312,0/0,PARK,Koordinat,Yok,Var
43,151349532,Hasan Coşar Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İçmeler Mh.,Aktif,29.31138919655033,40.85116615596984,Var,609,650.308864829661,Yok,3430-013-28,609,0/0,PARK,Koordinat,Yok,Var
44,151349533,İçmeler Meydanı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İçmeler Mh.,Aktif,29.305603632746767,40.84901307896149,Var,2900,2922.88119290828,Var,3430-013-29,2900,0/0,Meydan,Koordinat,Yok,Var
45,151349534,Şehit Ferdi Bolat Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İçmeler Mh.,Aktif,29.30703375075149,40.84632482932554,Var,1006,884.73262484896,Var,3430-013-30,1006,0/0,PARK,Koordinat,Yok,Var
46,151349535,Tuzla Stadı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İçmeler Mh.,Aktif,29.30637912257121,40.84523489459713,Var,7500,8652.86421202056,Var,3430-013-31,7500,0/0,Stadyum,Koordinat,Var,Var
47,151349536,6. Cadde Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Akfırat Mh.,Aktif,29.420552777666387,40.9244600842712,Var,450,472.831758394837,Var,3430-001-02,450,0/0,PARK,Koordinat,Yok,Var
48,151349537,Fırat Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Akfırat Mh.,Aktif,29.418130745727268,40.92575086856445,Var,1516,326.892561820491,Var,3430-001-03,1516,0/0,PARK,Koordinat,Yok,Var
49,151349538,Sosyal Tesisler Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Akfırat Mh.,Aktif,29.415547153118705,40.92705140290197,Var,9357,5488.71682815004,Var,3430-001-04,9357,0/0,PARK,Koordinat,Var,Var
50,151349539,Şehit J. Er Murat Aşçı Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Akfırat Mh.,Aktif,29.42444986239279,40.92542573061913,Var,5469,5718.23421234568,Var,3430-001-01,5469,0/0,PARK,Koordinat,Yok,Var
51,151349540,Şelale Park Otoparkı ( Aynı Zamanda TRANSFER ALANIDIR. ),Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydıntepe Mh.,Aktif,29.317844541335557,40.85861039379872,Var,102000,15651.2404721911,Var,3430-005-15,102000,0/0,Park / Otopark,Koordinat,Var,Var
52,151349541,Gençlik Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Anadolu Mh.,Aktif,29.375772709853138,40.90554283716197,Var,2000,1923.57048203034,Var,3430-002-05,2000,0/0,PARK,Koordinat,Var,Var
53,151349542,Belediye Parkı (Aynı Zamanda TRANSFER ALANIDIR.),Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Evliya Çelebi Mh.,Aktif,29.3019096474112,40.84329895423408,Var,24990,15237.1579295806,Var,3430-011-25,24990,8/4,PARK,Koordinat,Var,Var
54,151349543,Dere Kenarı Dinlenme Alanı Ve Çevresi,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Evliya Çelebi Mh.,Aktif,29.299333047392047,40.83960201226813,Var,10139,10043.7021317063,Var,3430-011-27,10139,0/0,PARK,Koordinat,Yok,Var
55,151349544,Duravit Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Evliya Çelebi Mh.,Aktif,29.297400262157733,40.83723972563799,Var,4672,4961.68475531658,Var,3430-011-26,4672,0/0,PARK,Koordinat,Yok,Var
56,151349545,Veysel Karani Parkı.,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Evliya Çelebi Mh.,Aktif,29.30467806749756,40.83865057673526,Var,1233,1385.29626942824,Var,3430-011-24,1233,0/0,PARK,Koordinat,Yok,Var
57,151349546,Evliya Çelebi Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Evliya Çelebi Mh.,Aktif,29.304336746959898,40.84083205586308,Var,2886,2894.34356826414,Var,3430-011-20,2886,0/0,PARK,Koordinat,Yok,Var
58,151349547,Huzur Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Evliya Çelebi Mh.,Aktif,29.299390019146298,40.842056225053184,Var,1695,2009.3017359367,Var,3430-011-21,1695,0/0,PARK,Koordinat,Yok,Var
59,151349548,Merdekan Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Evliya Çelebi Mh.,Aktif,29.303270463457217,40.84105741884652,Var,3529,3861.25193259928,Var,3430-011-22,3529,0/0,PARK,Koordinat,Yok,Var
60,151349549,Onur Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Evliya Çelebi Mh.,Aktif,29.299601199953912,40.83796790446353,Var,2805,3029.19536194759,Var,3430-011-23,2805,0/0,PARK,Koordinat,Yok,Var
61,151349550,Aydıntepe (Evora) Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydıntepe Mh.,Aktif,29.30104554110146,40.85977291195335,Var,9472,10130.6874497605,Var,3430-008-16,9472,0/0,PARK,Koordinat,Yok,RAHAT
62,151349551,Fatih Sultan Mehmet Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydıntepe Mh.,Aktif,29.300591240446096,40.85713309426237,Var,28609,32467.8867856659,Var,3430-008-15,28609,0/0,PARK,Koordinat,Var,Var
63,151349552,Şehit J.Er Kamber Kütük Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydıntepe Mh.,Aktif,29.294880741694204,40.85619292967853,Var,440,808.375184963406,Var,3430-008-14,440,0/0,PARK,Koordinat,Yok,Var
64,151349553,Aydıntepe Mahallesi Piknik Alanı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydıntepe Mh.,Aktif,29.30160181142789,40.8541904384304,Var,1700,7139.20864293401,Var,3430-008-17,1700,0/0,PARK,Koordinat,Yok,Var
65,151349554,Tezer Taşkıran Ortaokulu Bahçesi,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydıntepe Mh.,Aktif,29.29937152824852,40.85633966666204,Var,3500,7150.5263829596,Var,3430-008-18,3500,0/0,OKUL ,Koordinat,Var,Var
66,151349555,Eski Ankara Asfaltı Caddesi Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Tepeören Mh.,Aktif,29.385682060794156,40.9116462007656,Var,4600,6568.41929167715,Var,3430-022-74,4600,0/0,PARK,Koordinat,Yok,VAR
67,151349556,Kudret Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Tepeören Mh.,Aktif,29.39000773968172,40.908470259508576,Var,409,571.907830513936,Var,3430-022-73,409,0/0,PARK,Koordinat,Yok,VAR
68,151349557,Medeniyet Bulvarı Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Tepeören Mh.,Aktif,29.38987243064548,40.91318209825342,Var,8500,7950.41961719309,Var,3430-022-76,8500,0/0,PARK,Koordinat,Yok,VAR
69,151349559,Ulubey Sokak Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Tepeören Mh.,Aktif,29.37634409359772,40.90845333281377,Var,13130,14029.9791708398,Var,3430-002-06,13130,0/0,PARK,Koordinat,Yok,Var
70,151349560,Vehbi Koç Üniversitesi Futbol Sahası,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Tepeören Mh.,Aktif,29.358514424101376,40.9208169518734,Var,15128,15128.4314359387,Var,3430-022-77,15128,0/0,OKUL ,Koordinat,Var,VAR
71,151349561,Akşemseddin Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.31435310181093,40.82527151301424,Var,3089,3467.3652336798,Var,3430-014-39,3089,0/0,PARK,Koordinat,Yok,VAR
72,151349562,Batakçalı Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.32259897582959,40.8304317171426,Var,909,960.447869252646,Var,3430-014-32,909,0/0,PARK,Koordinat,Yok,Var
73,151349563,Borsa Kent Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.313151049046773,40.82767483701745,Var,4536,5116.40873273302,Var,3430-014-31,4536,0/0,PARK,Koordinat,Yok,VAR
74,151349564,Çınarlı Bahçe Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.31594056104624,40.83134936286916,Var,12780,15343.2999115399,Var,3430-014-34,12780,0/0,PARK,Koordinat,Yok,VAR
