_id,Saglik Tesisi Adi,Ana Kategori,Alt Kategori,Ilce Adi,Mahalle Adi,ADRES,Latitude,Longitude
3377,Vet Medicine Veteriner,Sağlık,Veteriner,KADIKÖY,ZÜHTÜPAŞA,Zahitbey Sk. No:8 ZÜHTÜPAŞA/KADIKÖY,40.98479999999999989768184605054557323455810546875,29.037400999999999129386196727864444255828857421875
3378,İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,ATAŞEHİR,ATATÜRK,Sedef Cad. No:17 ATATÜRK/ATAŞEHİR,40.99247600000000346653905580751597881317138671875,29.122111000000000302634362014941871166229248046875
3379,Uzm. Psk. Dan. Pınar Ekşi Mandis,Sağlık,Psikologlar,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,Karanfil Sk. No:1 B ATAKÖY 7-8-9-10. KISIM/BAKIRKÖY,40.9875449999999972305886331014335155487060546875,28.848572000000000770114638726226985454559326171875
3380,Veteriner Dr. House,Sağlık,Veteriner,KADIKÖY,BOSTANCI,Turşucu Dere Sk. No:21 BOSTANCI/KADIKÖY,40.960115000000001828084350563585758209228515625,29.0916619999999994661266100592911243438720703125
3381,Özel Academic Hastanesi,Sağlık,Özel Hastane,ÜSKÜDAR,ALTUNİZADE,Nuhkuyusu Cad. No:92 ALTUNİZADE/ÜSKÜDAR,41.0196619999999967376425047405064105987548828125,29.03451799999999849433152121491730213165283203125
3382,Uzm. Psk. Tuğçe Eyikoçak,Sağlık,Psikologlar,BAKIRKÖY,ZEYTİNLİK,Mor Menekşe Sk. No:9 ZEYTİNLİK/BAKIRKÖY,40.974525999999997338818502612411975860595703125,28.874663000000001744638211675919592380523681640625
3383,Dentidex,Sağlık,Ecza Deposu,FATİH,MOLLA GÜRANİ,Akkoyunlu Sk. No:17 MOLLA GÜRANİ/FATİH,41.013249000000001842636265791952610015869140625,28.93872400000000055797499953769147396087646484375
3384,Venart İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,KADIKÖY,KOŞUYOLU,Mütevelli Çeşme Cad. No:5 KOŞUYOLU/KADIKÖY,41.0118489999999980000211508013308048248291015625,29.038365999999999900182956480421125888824462890625
3385,Özel Şafak Tıp Merkezi,Sağlık,Tıp Merkezi Özel,SULTANGAZİ,50. YIL,Orhan Gazi Cad. No:65 -67 50. YIL/SULTANGAZİ,41.0924169999999975289028952829539775848388671875,28.87003899999999845249476493336260318756103515625
3386,Romatem Fizik Tedavi ve Rehabilitasyon Merkezi,Sağlık,Fizik Tedavi ve Rehabilitasyon Merkezi Özel,ŞİŞLİ,TEŞVİKİYE,Hakkı Yeten Cad. No:9 TEŞVİKİYE/ŞİŞLİ,41.05425900000000183354131877422332763671875,28.998931999999999931105776340700685977935791015625
