_id,Saglik Tesisi Adi,Ana Kategori,Alt Kategori,Ilce Adi,Mahalle Adi,ADRES,Latitude,Longitude
9944,Kurultay Eczanesi,Sağlık,Eczane,FATİH,MOLLA GÜRANİ,Uygar Sk. No: 1/B  MOLLA GÜRANİ/FATİH,41.013880999999997811755747534334659576416015625,28.94016500000000036152414395473897457122802734375
9945,Yeni Akdeniz Eczanesi,Sağlık,Eczane,FATİH,AKŞEMSETTİN,Akdeniz Cad. No: 87/A  AKŞEMSETTİN/FATİH,41.01769300000000129102772916667163372039794921875,28.944196999999999064812072901986539363861083984375
9946,Ünsal Eczanesi,Sağlık,Eczane,FATİH,SİLİVRİKAPI,Silivrikapı Cad. No: 31/A  SİLİVRİKAPI/FATİH,41.00695400000000034879121812991797924041748046875,28.92908200000000107365849544294178485870361328125
9947,Cerrahpaşa Fatih Eczanesi,Sağlık,Eczane,FATİH,AKSARAY,Yokuş Çeşmesi Sk. No: 54/A  AKSARAY/FATİH,41.00668300000000243699105340056121349334716796875,28.942080000000000694626578479073941707611083984375
9948,Nurtane Eczanesi,Sağlık,Eczane,FATİH,AKSARAY,İnkılap Cad. No: 4/A  AKSARAY/FATİH,41.00814299999999690271579311229288578033447265625,28.952321000000001305352270719595253467559814453125
9949,Yalçın Eczanesi,Sağlık,Eczane,FATİH,SİLİVRİKAPI,Meşeli Mescit Sk. No: 1/A  SİLİVRİKAPI/FATİH,41.0056009999999986348484526388347148895263671875,28.92570200000000113504938781261444091796875
9950,Necdet Eczanesi,Sağlık,Eczane,FATİH,AKSARAY,Yokuş Çeşmesi Sk. No: 2-1A  AKSARAY/FATİH,41.00411100000000175214154296554625034332275390625,28.9440799999999995861799106933176517486572265625
9951,Hüma Eczanesi,Sağlık,Eczane,FATİH,ALİ KUŞÇU,Darüşşafaka Cad. No: 36/A  ALİ KUŞÇU/FATİH,41.023021999999997433405951596796512603759765625,28.9487850000000008776623872108757495880126953125
9952,İnci Eczanesi,Sağlık,Eczane,FATİH,MOLLA GÜRANİ,Gureba Hastanesi Cad. No:18  MOLLA GÜRANİ/FATİH,41.01684900000000055797499953769147396087646484375,28.937008999999999758756530354730784893035888671875
9953,Işık Eczanesi,Sağlık,Eczane,FATİH,NİŞANCA,Türkeli Cad. No:66  NİŞANCA/FATİH,41.0064899999999994406607584096491336822509765625,28.959692000000000433601599070243537425994873046875
9954,Zeytindalı Eczanesi,Sağlık,Eczane,FATİH,ZEYREK,Haydarbey Cad. No:5  ZEYREK/FATİH,41.01621800000000206409822567366063594818115234375,28.95227799999999973579178913496434688568115234375
9955,Osmanoğlu Eczanesi,Sağlık,Eczane,FATİH,AKŞEMSETTİN,Akdeniz Cad. No: 14B  AKŞEMSETTİN/FATİH,41.0193620000000009895302355289459228515625,28.946681000000001660055204411037266254425048828125
9956,Balat Eczanesi,Sağlık,Eczane,FATİH,AYVANSARAY,Hacı Rıza Sk. No:54  AYVANSARAY/FATİH,41.03278900000000106729203253053128719329833984375,28.944382000000000942918632063083350658416748046875
9957,Yonca Eczanesi,Sağlık,Eczane,FATİH,HASEKİ SULTAN,Turgut Özal Millet Cad. No: 31/B  HASEKİ SULTAN/FATİH,41.0109479999999990695869200862944126129150390625,28.94243300000000118643583846278488636016845703125
9958,Fazilet Eczanesi,Sağlık,Eczane,FATİH,BALAT,Vodina Cad. No: 130/A  BALAT/FATİH,41.03222099999999983310772222466766834259033203125,28.947818999999999078909240779466927051544189453125
9959,Egem Eczanesi,Sağlık,Eczane,FATİH,HASEKİ SULTAN,Turgut Özal Millet Cad. No: 11/B  HASEKİ SULTAN/FATİH,41.00962299999999771671355119906365871429443359375,28.94729399999999941428541205823421478271484375
9960,Lotus Eczanesi,Sağlık,Eczane,FATİH,MOLLA GÜRANİ,Muratpaşa Sk. No: 15/B  MOLLA GÜRANİ/FATİH,41.01080300000000278259904007427394390106201171875,28.947500000000001563194018672220408916473388671875
9961,Billur Eczanesi,Sağlık,Eczane,FATİH,ŞEHREMİNİ,Başvekil Cad. No: 52/D  ŞEHREMİNİ/FATİH,41.01261199999999718102117185480892658233642578125,28.931487000000000620048012933693826198577880859375
9962,Uğurcan Eczanesi,Sağlık,Eczane,FATİH,SİLİVRİKAPI,Koca Mustafapaşa Cad. No: 260/B  SİLİVRİKAPI/FATİH,41.004019999999997025952325202524662017822265625,28.92838199999999915235093794763088226318359375
9963,Türker Eczanesi,Sağlık,Eczane,FATİH,HASEKİ SULTAN,Dr. Adnan Adıvar Cad. No:22  HASEKİ SULTAN/FATİH,41.0096520000000026584530132822692394256591796875,28.945316999999999296733221854083240032196044921875
9964,Başak Eczanesi,Sağlık,Eczane,FATİH,ALİ KUŞÇU,Darüşşafaka Cad. No: 63/A  ALİ KUŞÇU/FATİH,41.0240160000000031459421734325587749481201171875,28.94842799999999982674125931225717067718505859375
9965,Meziyet Eczanesi,Sağlık,Eczane,FATİH,HIRKA-İ ŞERİF,Keçeciler Cad. No: 19A  HIRKA-İ ŞERİF/FATİH,41.0215170000000028949216357432305812835693359375,28.941770000000001772377800079993903636932373046875
9966,Zafer Eczanesi,Sağlık,Eczane,FATİH,SEYYİD ÖMER,Mecitbey Sk. No: 5/33  SEYYİD ÖMER/FATİH,41.00933400000000261798049905337393283843994140625,28.93083899999999886176738073118031024932861328125
9967,Büyük Eczanesi,Sağlık,Eczane,FATİH,HOBYAR,Ankara Cad. No:17  HOBYAR/FATİH,41.012867999999997437043930403888225555419921875,28.974965999999998444991433643735945224761962890625
9968,Nur Eczanesi,Sağlık,Eczane,FATİH,ATİKALİ,Hasan Fehmipaşa Cad. No:10  ATİKALİ/FATİH,41.0252150000000028740032576024532318115234375,28.942116999999999649162418791092932224273681640625
9969,Fatoş Eczanesi,Sağlık,Eczane,FATİH,ŞEHREMİNİ,Başvekil Cad. No:16  ŞEHREMİNİ/FATİH,41.0143259999999969522832543589174747467041015625,28.93303399999999925285010249353945255279541015625
9970,Turkuaz Eczanesi,Sağlık,Eczane,KARTAL,GÜMÜŞPINAR,Atatürk Cad. No: 107/B  GÜMÜŞPINAR/KARTAL,40.9150929999999988240233506076037883758544921875,29.203098000000000666886990074999630451202392578125
9971,Gülnihal Eczanesi,Sağlık,Eczane,KARTAL,PETROL İŞ,Kızılay Bulvarı No: 25/A  PETROL İŞ/KARTAL,40.89123399999999719511833973228931427001953125,29.181509999999999394049154943786561489105224609375
9972,Saide Eczanesi,Sağlık,Eczane,KARTAL,TOPSELVİ,Genç Sk.  No:13-A  TOPSELVİ/KARTAL,40.896354999999999790816218592226505279541015625,29.216577000000000907675712369382381439208984375
9973,Sevra Eczanesi,Sağlık,Eczane,KARTAL,PETROL İŞ,Üsküdar Cad. No: 62/2  PETROL İŞ/KARTAL,40.8905630000000002155502443201839923858642578125,29.178214000000000538648237125016748905181884765625
9974,Bizim Eczanesi,Sağlık,Eczane,KARTAL,YAKACIK ÇARŞI,Çam Sk. No: 43A  YAKACIK ÇARŞI/KARTAL,40.91700300000000112277120933867990970611572265625,29.216241000000000127556631923653185367584228515625
9975,Mert Eczanesi,Sağlık,Eczane,KARTAL,ORTA,Vezirköprü Cad. No: 6B  ORTA/KARTAL,40.91002499999999741930878371931612491607666015625,29.204505999999998522298483294434845447540283203125
9976,Yeni İnci Eczanesi,Sağlık,Eczane,KARTAL,KARLIKTEPE,Huzurtepe Sk. No: 10/A  KARLIKTEPE/KARTAL,40.8965699999999969804775901138782501220703125,29.190113000000000198497218661941587924957275390625
9977,Erbaş Eczanesi,Sağlık,Eczane,KARTAL,UĞUR MUMCU,Şeyh Şamil Cad. No: 40/D  UĞUR MUMCU/KARTAL,40.92988199999999920919435680843889713287353515625,29.213815000000000310365066980011761188507080078125
9978,Metehan Eczanesi,Sağlık,Eczane,KARTAL,UĞUR MUMCU,Fatih Sultan Mehmet Cad. No: 32/A  UĞUR MUMCU/KARTAL,40.92963499999999754663804196752607822418212890625,29.20944899999999933015715214423835277557373046875
9979,Soğanlık Eczanesi,Sağlık,Eczane,KARTAL,ORTA,Vezirköprü Cad. No:7  ORTA/KARTAL,40.91005599999999731153366155922412872314453125,29.204325000000000756017470848746597766876220703125
9980,Anatolium Eczanesi,Sağlık,Eczane,KARTAL,SOĞANLIK YENİ,Soğanlık E-5 Yanyol Cad. No: 72/185  SOĞANLIK YENİ/KARTAL,40.91815700000000077807271736674010753631591796875,29.175903000000001696889739832840859889984130859375
9981,Namoğlu Eczanesi,Sağlık,Eczane,KARTAL,UĞUR MUMCU,Akşemsettin Cad. No: 52/C  UĞUR MUMCU/KARTAL,40.9355139999999977362676872871816158294677734375,29.215059000000000111185727291740477085113525390625
9982,Deniz Eczanesi,Sağlık,Eczane,KARTAL,PETROL İŞ,Kızılay Bulvarı No:27  PETROL İŞ/KARTAL,40.8913060000000001537046045996248722076416015625,29.181456000000000727823135093785822391510009765625
9983,Mimoza Eczanesi,Sağlık,Eczane,KARTAL,YAKACIK ÇARŞI,Hediye Sk.  No:5A  YAKACIK ÇARŞI/KARTAL,40.91489399999999676538209314458072185516357421875,29.218757000000000090267349150963127613067626953125
9984,Hatice Eczanesi,Sağlık,Eczane,KARTAL,YAKACIK ÇARŞI,Tarihi Ayazma Cad. No: 2J  YAKACIK ÇARŞI/KARTAL,40.9179079999999970596036291681230068206787109375,29.22582799999999991769072948954999446868896484375
9985,Demircioğlu Eczanesi,Sağlık,Eczane,KARTAL,ATALAR,Üsküdar Cad. No: 152/A  ATALAR/KARTAL,40.90118300000000317595549859106540679931640625,29.1674560000000013815224519930779933929443359375
9986,Baykan Eczanesi,Sağlık,Eczane,KARTAL,YUNUS,Demokrasi Cad. No: 19-A  YUNUS/KARTAL,40.89012199999999808142092661000788211822509765625,29.2154230000000012523742043413221836090087890625
9987,Gümüşpınar Eczanesi,Sağlık,Eczane,KARTAL,GÜMÜŞPINAR,Defneli Cad. No: 10/1  GÜMÜŞPINAR/KARTAL,40.91841699999999804049366503022611141204833984375,29.204544999999999532747096964158117771148681640625
9988,Lavanta Eczanesi,Sağlık,Eczane,KARTAL,ESENTEPE,Anayurt Cad. No: 31A  ESENTEPE/KARTAL,40.90755999999999659166860510595142841339111328125,29.1817530000000004974936018697917461395263671875
9989,Acar Eczanesi,Sağlık,Eczane,KARTAL,HÜRRİYET,Nilsu Sk. No:14  HÜRRİYET/KARTAL,40.90145700000000061891114455647766590118408203125,29.227992000000000416548573412001132965087890625
9990,Kural Eczanesi,Sağlık,Eczane,KARTAL,ORTA,Yusuf Efendi Sk. No: 8A  ORTA/KARTAL,40.91493799999999936289896140806376934051513671875,29.20531700000000085992724052630364894866943359375
9991,Pelin Eczanesi,Sağlık,Eczane,KARTAL,YAKACIK ÇARŞI,Gökdemir Sk. No: 9-B  YAKACIK ÇARŞI/KARTAL,40.91894400000000331374394590966403484344482421875,29.226085999999998676912582595832645893096923828125
9992,Yeni Atalar Eczanesi,Sağlık,Eczane,KARTAL,PETROL İŞ,Rahmanlar Cad. No: 60/A  PETROL İŞ/KARTAL,40.90008300000000218688001041300594806671142578125,29.17559800000000080899553722701966762542724609375
9993,Yekta Eczanesi,Sağlık,Eczane,KARTAL,CEVİZLİ,Mustafa Kemal Cad. No:28  CEVİZLİ/KARTAL,40.91231599999999701822162023745477199554443359375,29.1731300000000004501998773775994777679443359375
9994,Girne Eczanesi,Sağlık,Eczane,KAĞITHANE,HAMİDİYE,Arife Sk. No: 5/A  HAMİDİYE/KAĞITHANE,41.0920780000000007703420124016702175140380859375,28.977326000000001471335053793154656887054443359375
9995,Tuğba Eczanesi,Sağlık,Eczane,KAĞITHANE,HAMİDİYE,Karaman Sk. No: 7A  HAMİDİYE/KAĞITHANE,41.09440599999999932379068923182785511016845703125,28.96977199999999896817826083861291408538818359375
9996,Murat Eczanesi,Sağlık,Eczane,KAĞITHANE,SULTAN SELİM,Sultan Selim Cad. No: 102/A  SULTAN SELİM/KAĞITHANE,41.09101100000000172940417542122304439544677734375,28.99707599999999985129761626012623310089111328125
9997,Derya Eczanesi,Sağlık,Eczane,KAĞITHANE,ŞİRİNTEPE,Gümüşhane Cad. No:90  ŞİRİNTEPE/KAĞITHANE,41.08821499999999815599949215538799762725830078125,28.9907180000000010977601050399243831634521484375
9998,Muradhan Eczanesi,Sağlık,Eczane,KAĞITHANE,EMNİYET EVLERİ,Taşkent Sk. No: 2-D  EMNİYET EVLERİ/KAĞITHANE,41.08555100000000237514541368000209331512451171875,29.00470899999999829788066563196480274200439453125
9999,Yahya Kemal Eczanesi,Sağlık,Eczane,KAĞITHANE,YAHYA KEMAL,Talatpaşa Cad. No: 346/c  YAHYA KEMAL/KAĞITHANE,41.08489200000000352019924321211874485015869140625,28.98810999999999893361746217124164104461669921875
10000,Arzu Eczanesi,Sağlık,Eczane,KAĞITHANE,NURTEPE,Şehit Mustafa Burcu Cad. No: 25/A  NURTEPE/KAĞITHANE,41.07622099999999676356310374103486537933349609375,28.962559999999999860165189602412283420562744140625
10001,Hamit Eczanesi,Sağlık,Eczane,KAĞITHANE,TALATPAŞA,İncebayır Sk. No:12  TALATPAŞA/KAĞITHANE,41.0618869999999986930561135523021221160888671875,28.9615000000000009094947017729282379150390625
10002,Yalı Eczanesi,Sağlık,Eczane,SARIYER,RUMELİ HİSARI,Baltalimanı-Hisar Cad. No: 15/2  RUMELİ HİSARI/SARIYER,41.08994899999999717010723543353378772735595703125,29.056405999999999067995304358191788196563720703125
10003,Uğur Eczanesi,Sağlık,Eczane,SARIYER,BÜYÜKDERE,Çayırbaşı Cad. No: 119/C  BÜYÜKDERE/SARIYER,41.1597009999999983165253070183098316192626953125,29.04028699999999929559635347686707973480224609375
10004,Nur Eczanesi,Sağlık,Eczane,SARIYER,ÇAYIRBAŞI,Bahçeköy Cad. No: 52/B  ÇAYIRBAŞI/SARIYER,41.1556709999999981164364726282656192779541015625,29.03163599999999888723323238082230091094970703125
10005,Şeyma Eczanesi,Sağlık,Eczane,SARIYER,RUMELİ HİSARI,Camii Sk. No:54  RUMELİ HİSARI/SARIYER,41.0877320000000025856934371404349803924560546875,29.045940000000001646185410209000110626220703125
10006,Mis Eczanesi,Sağlık,Eczane,SARIYER,TARABYA,Han Çayırı Yolu Sk. No:63  TARABYA/SARIYER,41.13857999999999748297341284342110157012939453125,29.036204999999998932480593794025480747222900390625
10007,Tarabya İnci Eczanesi,Sağlık,Eczane,SARIYER,TARABYA,Arabayolu Cad. No: 200/B  TARABYA/SARIYER,41.14334099999999949659468256868422031402587890625,29.044852999999999809688233654014766216278076171875
10008,Alev Eczanesi,Sağlık,Eczane,SARIYER,REŞİTPAŞA,Tuncay Artun Cad. No:12  REŞİTPAŞA/SARIYER,41.105603000000002111846697516739368438720703125,29.04408099999999848250809009186923503875732421875
10009,Erciyes Eczanesi,Sağlık,Eczane,SİLİVRİ,ALİBEY,Başkomutan Cad.  No:74C  ALİBEY/SİLİVRİ,41.073542000000003326931619085371494293212890625,28.24804400000000015324985724873840808868408203125
10010,Seval Eczanesi,Sağlık,Eczane,SİLİVRİ,ALİBEY,Akçeşme Sk. No:1  ALİBEY/SİLİVRİ,41.07302200000000169666236615739762783050537109375,28.249860999999999222609403659589588642120361328125
10011,Tuğba Eczanesi,Sağlık,Eczane,SİLİVRİ,SELİMPAŞA,202. Cad. No:23  SELİMPAŞA/SİLİVRİ,41.05463400000000007139533408917486667633056640625,28.3783039999999999736246536485850811004638671875
10012,Sağlık Eczanesi,Sağlık,Eczane,SİLİVRİ,ALİBEY,Turgut Özal Bulvarı No: 19A  ALİBEY/SİLİVRİ,41.07195999999999713736542616970837116241455078125,28.258106000000001500893631600774824619293212890625
10013,Gündüz Eczanesi,Sağlık,Eczane,SİLİVRİ,MİMAR SİNAN,Ahmet Hamoğlu Cad. No:14  MİMAR SİNAN/SİLİVRİ,41.08160600000000073350747697986662387847900390625,28.203942000000001399939719703979790210723876953125
10014,Çağdaş Eczanesi,Sağlık,Eczane,SİLİVRİ,YENİ,7053. Sk. No: 23/B  YENİ/SİLİVRİ,41.09165899999999993497112882323563098907470703125,28.259840000000000515001374878920614719390869140625
10015,Canan Eczanesi,Sağlık,Eczane,SİLİVRİ,ALİBEY,Akgün Silivrili Cad.  No:5D/1  ALİBEY/SİLİVRİ,41.073082999999996900442056357860565185546875,28.251380999999998522298483294434845447540283203125
10016,Başaran Eczanesi,Sağlık,Eczane,SİLİVRİ,ALİBEY,Alibey Çeşme Cad.  No:9  ALİBEY/SİLİVRİ,41.07388499999999709189069108106195926666259765625,28.25022799999999989495336194522678852081298828125
10017,Özgür Eczanesi,Sağlık,Eczane,SİLİVRİ,ÇANTA BALABAN,Büyük Önder Atatürk Cad. No: 94/D  BALABAN/SİLİVRİ,41.07973100000000243881004280410706996917724609375,28.083203999999998501380105153657495975494384765625
10018,Çağla Eczanesi,Sağlık,Eczane,SİLİVRİ,FATİH,Halim Uluşahin Cad. No: 34A  FATİH/SİLİVRİ,41.070143000000001620719558559358119964599609375,28.254694000000000642103259451687335968017578125
10019,Halk Eczanesi,Sağlık,Eczane,SİLİVRİ,ALİBEY,Doktor Şemsettinbey Sk. No:2  ALİBEY/SİLİVRİ,41.07338899999999881629264564253389835357666015625,28.2505570000000005848050932399928569793701171875
10020,Marmara Eczanesi,Sağlık,Eczane,SİLİVRİ,PİRİ MEHMET PAŞA,Havuzlu Kahve Sk. No:5  PİRİ MEHMET PAŞA/SİLİVRİ,41.07341600000000170211933436803519725799560546875,28.24623199999999911824488663114607334136962890625
10021,Merkez Eczanesi,Sağlık,Eczane,SİLİVRİ,PİRİ MEHMET PAŞA,Başkomutan Cad. No: 46A  PİRİ MEHMET PAŞA/SİLİVRİ,41.07382599999999683859641663730144500732421875,28.24610200000000048703441279940307140350341796875
10022,Cankat Eczanesi,Sağlık,Eczane,SİLİVRİ,YENİ,Alperen Sk. No: 1-A  YENİ/SİLİVRİ,41.077505000000002155502443201839923858642578125,28.2491389999999995552570908330380916595458984375
10023,Gamze Eczanesi,Sağlık,Eczane,SİLİVRİ,YENİ,Şinasi Günaydın Sk. No: 3/B  YENİ/SİLİVRİ,41.08124000000000108911990537308156490325927734375,28.260504999999998432258507818914949893951416015625
10024,Deniz Erdem Eczanesi,Sağlık,Eczane,SİLİVRİ,SELİMPAŞA,İzzet Gürcay Cad. No: 49A  SELİMPAŞA/SİLİVRİ,41.05354299999999767578628961928188800811767578125,28.371376999999998957946445443667471408843994140625
10025,Akar Eczanesi,Sağlık,Eczane,SİLİVRİ,PİRİ MEHMET PAŞA,Bakaner Sk. No: 3B  PİRİ MEHMET PAŞA/SİLİVRİ,41.07872499999999860165189602412283420562744140625,28.238029000000000934278432396240532398223876953125
10026,Millet Eczanesi,Sağlık,Eczane,SİLİVRİ,PİRİ MEHMET PAŞA,Albay Yunus Dirik Cad. No: 8/A  PİRİ MEHMET PAŞA/SİLİVRİ,41.0778090000000020154402591288089752197265625,28.24224600000000151567292050458490848541259765625
10027,Nesrin Eczanesi,Sağlık,Eczane,SULTANGAZİ,İSMETPAŞA,95. Sk. No: 5/B  İSMETPAŞA/SULTANGAZİ,41.11229999999999762394509161822497844696044921875,28.854749000000001757371137500740587711334228515625
10028,Horoz Eczanesi,Sağlık,Eczane,SULTANGAZİ,SULTANÇİFTLİĞİ,Eski Edirne Asfaltı Cad. No: 567/A  SULTANÇİFTLİĞİ/SULTANGAZİ,41.0991039999999969722921377979218959808349609375,28.862823999999999813326212461106479167938232421875
10029,Özdemir Eczanesi,Sağlık,Eczane,SULTANGAZİ,UĞUR MUMCU,Muhsin Yazcıoğlu Cad. No: 10A  UĞUR MUMCU/SULTANGAZİ,41.10419900000000126283339341171085834503173828125,28.86359399999999908459358266554772853851318359375
10030,Seval Eczanesi,Sağlık,Eczane,SULTANGAZİ,ESENTEPE,Şehit Eyüp Gönen Cad. No: 82/1A  ESENTEPE/SULTANGAZİ,41.09814999999999685087459511123597621917724609375,28.879428000000000764657670515589416027069091796875
10031,Şifa Eczanesi,Sağlık,Eczane,SULTANGAZİ,ZÜBEYDE HANIM,1280. Sk. No:10  ZÜBEYDE HANIM/SULTANGAZİ,41.09876100000000320733306580223143100738525390625,28.906755000000000421778167947195470333099365234375
10032,Pamuk Şeker Eczanesi,Sağlık,Eczane,SULTANGAZİ,İSMETPAŞA,Ordu Cad. No: 295A  İSMETPAŞA/SULTANGAZİ,41.11189499999999696910890634171664714813232421875,28.8555759999999992260200087912380695343017578125
10033,Yusuf Özel Eczanesi,Sağlık,Eczane,SULTANGAZİ,UĞUR MUMCU,2114. Sk. No: 30A  UĞUR MUMCU/SULTANGAZİ,41.09595900000000057161742006428539752960205078125,28.8671649999999999636202119290828704833984375
10034,Gölebeyi Eczanesi,Sağlık,Eczane,PENDİK,ŞEYHLİ,Aziz Mahmut Hüdai Cad. No: 10/B  ŞEYHLİ/PENDİK,40.90678700000000134195943246595561504364013671875,29.284818000000001347871148027479648590087890625
10035,Toprak Eczanesi,Sağlık,Eczane,PENDİK,KAYNARCA,Aydınlı Yolu Cad. No: 5/A  KAYNARCA/PENDİK,40.872107999999997218765201978385448455810546875,29.264140999999998626890373998321592807769775390625
10036,Marmara Şifa Eczanesi,Sağlık,Eczane,PENDİK,FEVZİ ÇAKMAK,Selanik Sk. No: 7/B  FEVZİ ÇAKMAK/PENDİK,40.88690900000000283398549072444438934326171875,29.260380999999998863358996459282934665679931640625
10037,Sancak Eczanesi,Sağlık,Eczane,PENDİK,YENİ,Plevne Cad. No: 5A  YENİ/PENDİK,40.884130999999996447513694874942302703857421875,29.23020700000000005047695594839751720428466796875
10038,Bilgin Eczanesi,Sağlık,Eczane,PENDİK,KURTKÖY,Ankara Cad. No: 406/E  KURTKÖY/PENDİK,40.913849999999996498445398174226284027099609375,29.299229000000000411318978876806795597076416015625
10039,Burcu Eczanesi,Sağlık,Eczane,PENDİK,AHMET YESEVİ,Fatih Sultan Mehmet Cad. No: 24/2  AHMET YESEVİ/PENDİK,40.86417200000000349291440215893089771270751953125,29.30908600000000063801053329370915889739990234375
10040,Lokman Eczanesi,Sağlık,Eczane,PENDİK,DOĞU,Papatya Sk. No: 17/A  DOĞU/PENDİK,40.87861600000000095178620540536940097808837890625,29.236717999999999761939761810936033725738525390625
10041,Sezer Eczanesi,Sağlık,Eczane,PENDİK,KAYNARCA,Deniz Cad.  Yörük Sk. No:3/A  KAYNARCA/PENDİK,40.876587999999998146449797786772251129150390625,29.259091999999998989778760005719959735870361328125
10042,Nur Eczanesi,Sağlık,Eczane,PENDİK,FATİH,İmamı Azam Cad. No: 27/B  FATİH/PENDİK,40.86464699999999794499672134406864643096923828125,29.297833000000000680529410601593554019927978515625
10043,Şehir Eczanesi,Sağlık,Eczane,PENDİK,FEVZİ ÇAKMAK,Selanik Sk. No: 5/B  FEVZİ ÇAKMAK/PENDİK,40.886515000000002828528522513806819915771484375,29.2602219999999988431227393448352813720703125
10044,Dilgül Eczanesi,Sağlık,Eczane,PENDİK,BATI,Burhan Toprak Cad. No: 31B  BATI/PENDİK,40.87607700000000221507434616796672344207763671875,29.228224000000000870613803272135555744171142578125
10045,Pektaş Eczanesi,Sağlık,Eczane,PENDİK,ORHANGAZİ,İstiklal Cad. No: 127/A  ORHANGAZİ/PENDİK,40.86420100000000132922650664113461971282958984375,29.293791999999999831061359145678579807281494140625
10046,Sevil Eczanesi,Sağlık,Eczane,PENDİK,KAVAKPINAR,Misak-ı Milli Cad. No: 145/B  KAVAKPINAR/PENDİK,40.8808819999999997207851265557110309600830078125,29.278988999999999265355654642917215824127197265625
10047,Mutlu Eczanesi,Sağlık,Eczane,PENDİK,AHMET YESEVİ,Hürriyet Cad. No: 73A  AHMET YESEVİ/PENDİK,40.86765199999999964575181365944445133209228515625,29.303270999999998736029738211072981357574462890625
10048,Nihalin Eczanesi,Sağlık,Eczane,PENDİK,KURTKÖY,Sena Sk. No: 47B  KURTKÖY/PENDİK,40.9198769999999996116457623429596424102783203125,29.29492400000000174031811184249818325042724609375
10049,Dönmez Eczanesi,Sağlık,Eczane,PENDİK,ESENLER,Rıfat Ilgaz Cad. No: 126/1B  ESENLER/PENDİK,40.89064799999999877400114201009273529052734375,29.270931999999998396333467098884284496307373046875
10050,Merkez Çarşı Eczanesi,Sağlık,Eczane,PENDİK,YENİŞEHİR,Mustafa Akyol Sk. No:36  YENİŞEHİR/PENDİK,40.927469999999999572537490166723728179931640625,29.307852000000000458612703368999063968658447265625
10051,Pendik Yeni Eczanesi,Sağlık,Eczane,PENDİK,BATI,Dr. Orhan Maltepe Cad. No: 19/A  BATI/PENDİK,40.87721599999999710917109041474759578704833984375,29.23008300000000048157744458876550197601318359375
10052,Emrecan Eczanesi,Sağlık,Eczane,SANCAKTEPE,EMEK,Kayalar Cad. No: 71/1  EMEK/SANCAKTEPE,41.00434500000000070940586738288402557373046875,29.198488000000001107991920434869825839996337890625
10053,Dicle Eczanesi,Sağlık,Eczane,SANCAKTEPE,KEMAL TÜRKLER,Osmangazi Cad. No: 41/B  KEMAL TÜRKLER/SANCAKTEPE,41.003073000000000547515810467302799224853515625,29.217130000000000933368937694467604160308837890625
10054,Seda Eczanesi,Sağlık,Eczane,SANCAKTEPE,İNÖNÜ,Demokrasi Cad.  No:93-95B  İNÖNÜ/SANCAKTEPE,41.01375600000000076761352829635143280029296875,29.219888000000000971567715168930590152740478515625
10055,Alaca Eczanesi,Sağlık,Eczane,SANCAKTEPE,FATİH,Okul Sk. No: 9A  FATİH/SANCAKTEPE,40.9576339999999987639967002905905246734619140625,29.21283700000000038698999560438096523284912109375
10056,Tülin Eczanesi,Sağlık,Eczane,SANCAKTEPE,AKPINAR,Gülhane Cad. No: 34A  AKPINAR/SANCAKTEPE,40.96339499999999844703779672272503376007080078125,29.233990999999999615965862176381051540374755859375
10057,Ada Eczanesi,Sağlık,Eczane,SANCAKTEPE,HİLAL,Emek Cad. No: 52B  HİLAL/SANCAKTEPE,41.02401900000000267709765466861426830291748046875,29.25250700000000136924427351914346218109130859375
10058,Berat Eczanesi,Sağlık,Eczane,SANCAKTEPE,EMEK,Kayalar Cad. No: 53A  EMEK/SANCAKTEPE,41.00475300000000089539753389544785022735595703125,29.196760999999998631437847507186233997344970703125
10059,Yunus Emre Eczanesi,Sağlık,Eczane,SANCAKTEPE,YUNUS EMRE,Veyselkaranı Cad.  İkbal Sk. No:5  YUNUS EMRE/SANCAKTEPE,41.0180069999999972196746966801583766937255859375,29.258274000000000114596332423388957977294921875
10060,Sağlık Plus Eczanesi,Sağlık,Eczane,SANCAKTEPE,EMEK,Namık Kemal Cad. No: 107B  EMEK/SANCAKTEPE,41.0049149999999968940755934454500675201416015625,29.19647499999999951114659779705107212066650390625
10061,Yeni Venüs Eczanesi,Sağlık,Eczane,SANCAKTEPE,KEMAL TÜRKLER,Uysal Cad. No: 48-B  KEMAL TÜRKLER/SANCAKTEPE,41.0082689999999985275280778296291828155517578125,29.21942299999999903548086876980960369110107421875
10062,Bizimtepe Aydos Salih Eczanesi,Sağlık,Eczane,SANCAKTEPE,VEYSEL KARANİ,Kanuni Cad.  No:25  VEYSEL KARANİ/SANCAKTEPE,40.96752500000000196678229258395731449127197265625,29.236146999999998996599970269016921520233154296875
10063,İzlem Eczanesi,Sağlık,Eczane,SANCAKTEPE,MECLİS,Özben Sk. No: 14A  MECLİS/SANCAKTEPE,41.0118709999999992987795849330723285675048828125,29.20569400000000115369402919895946979522705078125
10064,Merkez Eczanesi,Sağlık,Eczane,SANCAKTEPE,ABDURRAHMANGAZİ,Osmangazi Cad. No: 1/B  ABDURRAHMANGAZİ/SANCAKTEPE,40.98574800000000095678842626512050628662109375,29.2293260000000003628883860073983669281005859375
